family,level,compression,psnr,msssim
bior1.1,1,74.08148500456123,69.91100285166468,0.9946644598841147
bior1.1,2,74.0830444005169,74.46521762874941,0.994693714221716
bior1.1,3,74.08378306175905,77.96890196497256,0.9946999073050117
bior1.1,4,74.08324958419527,80.79412695798351,0.9946992305611866
bior1.1,5,74.08296232704555,inf,0.9946987595540794
bior1.1,6,74.080377012698,inf,0.9946955708551384
bior1.1,7,74.08214159233204,inf,0.9946819820358342
bior1.1,8,74.08095152699745,inf,0.9946808219902478
bior1.1,9,74.08193640865366,inf,0.9947027806874719
bior1.1,10,74.0818543351823,inf,0.9947028162443269
bior1.3,1,74.08193640865366,64.93604302981007,0.9946135554486604
bior1.3,2,74.08394720870176,68.46169558562198,0.9946695841089911
bior1.3,3,74.08476794341526,72.46986514886419,0.9946918171141481
bior1.3,4,74.08148500456123,74.64402146444745,0.9946937006196611
bior1.3,5,74.08558867812877,76.2263417282117,0.994689332747348
bior1.3,6,74.0873942944985,77.50267585320988,0.994686212792716
bior1.3,7,74.0833726944023,77.61383769470723,0.9946708362941028
bior1.3,8,74.08513727403636,inf,0.994674644725824
bior1.3,9,74.08464483320823,inf,0.9946816994063257
bior1.3,10,74.08296232704555,inf,0.9946983781164958
bior1.5,1,74.07963835145583,62.606327079797055,0.994541026455803
bior1.5,2,74.08308543725258,65.76502483405469,0.9946337538865462
bior1.5,3,74.08062323311205,68.68484259422921,0.9946716183026252
bior1.5,4,74.08468586994391,70.90856651984313,0.9946813491741737
bior1.5,5,74.08485001688662,72.4049350887739,0.9946829702509408
bior1.5,6,74.08173122497529,73.32440789391453,0.9946738901803729
bior1.5,7,74.08443964952987,74.28806852184209,0.9946557509913516
bior1.5,8,74.08333165766663,75.46498195417652,0.9946630201901513
bior1.5,9,74.08796880879794,inf,0.9946721721323225
bior1.5,10,74.08546556792174,inf,0.9946780462042879
bior2.2,1,74.05903791014678,55.58350010293874,0.9937373853944799
bior2.2,2,74.07278521659805,55.16593950781927,0.9936661560161006
bior2.2,3,74.08123878414719,54.89133368169091,0.9936674650154019
bior2.2,4,74.09108760070929,54.61921504915705,0.993685843198767
bior2.2,5,74.09753036821031,54.28744558224781,0.9936895412871014
bior2.2,6,74.09859732333788,54.05518721673134,0.9936907483153947
bior2.2,7,74.09416535588494,54.00510520816986,0.9937099859349502
bior2.2,8,74.09231870277954,54.51001801508206,0.9938435529844523
bior2.2,9,74.09026686599577,54.59449766754282,0.9938764517886758
bior2.2,10,74.08677874346337,54.3316637789398,0.9938052053632795
bior2.4,1,74.07397528193263,59.78783748495707,0.9943520267826778
bior2.4,2,74.07446772276074,63.194176369906415,0.9945590283531421
bior2.4,3,74.0778737718218,66.74360583790586,0.9946469407992689
bior2.4,4,74.08164915150394,68.95946996862826,0.9946650222796757
bior2.4,5,74.08382409849473,70.41946928284695,0.994662571001261
bior2.4,6,74.08452172300122,70.38187340072747,0.9946329282844694
bior2.4,7,74.08242884948176,71.86600785668905,0.9946200831248057
bior2.4,8,74.08427550258716,74.14074760564046,0.9946400877953891
bior2.4,9,74.08480898015094,inf,0.9946543350458281
bior2.4,10,74.08546556792174,inf,0.9946573752007334
bior2.6,1,74.0711847839067,59.10482499389808,0.9942976840024684
bior2.6,2,74.07865346979963,62.20984550721147,0.994522993138637
bior2.6,3,74.08542453118608,64.47859801849306,0.9946040156228225
bior2.6,4,74.0855476413931,66.48148501674666,0.9946381787240322
bior2.6,5,74.08255195968879,67.93637508787742,0.9946400260912128
bior2.6,6,74.08349580460933,68.60665586801208,0.994625817995404
bior2.6,7,74.08398824543744,68.80395496895422,0.9946175280823333
bior2.6,8,74.08324958419527,70.98998820340094,0.9946293908789322
bior2.6,9,74.08710703734876,71.24656713255919,0.9946226012690497
bior2.6,10,74.08300336378122,inf,0.9946529618257305
bior2.8,1,74.07877658000666,61.097279865684605,0.99446411262243
bior2.8,2,74.08045908616934,64.2114880089053,0.994598941751304
bior2.8,3,74.08238781274609,67.72302187844471,0.9946617966130861
bior2.8,4,74.08132085761852,70.6489296790202,0.9946809333940305
bior2.8,5,74.08312647398824,73.27402703673124,0.9946891531279641
bior2.8,6,74.08263403316015,75.23764342904818,0.9946849586829336
bior2.8,7,74.08460379647256,77.02475141765578,0.9946787385861929
bior2.8,8,74.08398824543744,79.71053574167296,0.9946781439373968
bior2.8,9,74.08546556792174,inf,0.994687946359076
bior2.8,10,74.08349580460933,inf,0.99469060254157
bior3.1,1,74.06831221240942,47.19368469809858,0.9941000377552159
bior3.1,2,74.06580897153323,47.1506931880773,0.9941823878749828
bior3.1,3,74.06125389387326,47.14744278695501,0.994189264982699
bior3.1,4,74.06416750210622,47.1477508877759,0.9942000837324836
bior3.1,5,74.06371609801377,47.14886651607939,0.9942156805934326
bior3.1,6,74.06580897153323,47.150359854544355,0.9942190028714404
